ime,prezime,pozicija,placa,datum_rodenja,visina,tezina,draft_pick,draft_godina,tim,ime_roditelja,prezime_roditelja
"Lebron","James","nisko krilo",44470000,"1984-12-29T23:00:00.000Z",206,113,1,2003,"Los Angeles Lakers","Anthony","McClelland"
"Lebron","James","nisko krilo",44470000,"1984-12-29T23:00:00.000Z",206,113,1,2003,"Los Angeles Lakers","Gloria","James"
"Anthony","Davis","krilni centar",32740000,"1993-03-10T23:00:00.000Z",208,115,1,2012,"Los Angeles Lakers","Anthony","Davis"
"Anthony","Davis","krilni centar",32740000,"1993-03-10T23:00:00.000Z",208,115,1,2012,"Los Angeles Lakers","Erainer","Davis"
"Stephen","Curry","organizator igre",45780000,"1988-03-13T23:00:00.000Z",188,84,7,2009,"Golden State Warriors","Dell","Curry"
"Stephen","Curry","organizator igre",45780000,"1988-03-13T23:00:00.000Z",188,84,7,2009,"Golden State Warriors","Sonya","Curry"
"Klay","Thompson","bek šuter",32740000,"1990-02-07T23:00:00.000Z",198,98,11,2011,"Golden State Warriors","Mychal","Thompson"
"Klay","Thompson","bek šuter",32740000,"1990-02-07T23:00:00.000Z",198,98,11,2011,"Golden State Warriors","Julie","Thompson"
"Nikola","Jokić","centar",46550000,"1995-02-18T23:00:00.000Z",211,129,41,2014,"Denver Nuggets","Branislav","Jokić"
"Nikola","Jokić","centar",46550000,"1995-02-18T23:00:00.000Z",211,129,41,2014,"Denver Nuggets","Zlata","Jokić"
"Bojan","Bogdanović","nisko krilo",19550000,"1989-04-17T22:00:00.000Z",203,98,31,2011,"Detroit Pistons","Mario","Bogdanović"
"Luka","Dončić","organizator igre",37096500,"1999-02-27T23:00:00.000Z",201,103,3,2018,"Dallas Mavericks","Saša","Dončić"
"Luka","Dončić","organizator igre",37096500,"1999-02-27T23:00:00.000Z",201,103,3,2018,"Dallas Mavericks","Mirjam","Poterbin"
"Jayson","Tatum","nisko krilo",30351780,"1998-03-02T23:00:00.000Z",208,95,3,2017,"Boston Celtics","Justin","Tatum"
"Jayson","Tatum","nisko krilo",30351780,"1998-03-02T23:00:00.000Z",208,95,3,2017,"Boston Celtics","Brandy","Cole"
"Ja","Morant","organizator igre",12119440,"1998-10-07T22:00:00.000Z",191,79,2,2019,"Memphis Grizzlies","Tee","Morant"
"Ja","Morant","organizator igre",12119440,"1998-10-07T22:00:00.000Z",191,79,2,2019,"Memphis Grizzlies","Jamie","Morant"
"Kawhi","Leonard","nisko krilo",39400000,"1991-06-28T22:00:00.000Z",201,102,15,2011,"Los Angeles Clippers","Mark","Leonard"
"Kawhi","Leonard","nisko krilo",39400000,"1991-06-28T22:00:00.000Z",201,102,15,2011,"Los Angeles Clippers","Kim","Leonard"